제천대성	齊天大聖
다이아 상점에서 구입한 신비한 현자의 문자를 받았습니다.	收到了從鑽石商品購買的神秘的賢者文字。
다이아 상점에서 구입한 신비한 태초의 정수를 받았습니다.	收到了從鑽石商品購買的神秘的遠古晶石。
실버 룬 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	購買白銀符文禮包獎勵,獲得了[amount]個[rewardtype]。
골드 룬 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	購買黃金符文禮包獎勵,獲得了[amount]個[rewardtype]。
플래티넘 룬 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	購買鉑金符文禮包獎勵,獲得了[amount]個[rewardtype]。
실버 룬 패키지 구입으로 [rewardtype]을 받았습니다.	購買白銀符文禮包獎勵,獲得了[rewardtype]。
골드 룬 패키지 구입으로 [rewardtype]을 받았습니다.	購買黃金符文禮包獎勵,獲得了[rewardtype]。
플래티넘 룬 패키지 구입으로 [rewardtype]을 받았습니다.	購買鉑金符文禮包獎勵,獲得了[rewardtype]。
초보 부스터팩	普通加速器禮包
특수 부스터팩	特殊加速器禮包
희귀 부스터팩	稀有加速器禮包
영웅 부스터팩	英雄加速器禮包
전설 부스터팩	傳說加速器禮包
초보 부스터팩 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買普通加速器禮包獎勵,獲得了[amount]個[rewardtype]。
특수 부스터팩 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買特殊加速器禮包獎勵,獲得了[amount]個[rewardtype]。
희귀 부스터팩 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買稀有加速器禮包獎勵,獲得了[amount]個[rewardtype]。
영웅 부스터팩 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買英雄加速器禮包獎勵,獲得了[amount]個[rewardtype]。
전설 부스터팩 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買傳說加速器禮包獎勵,獲得了[amount]個[rewardtype]。
초보 부스터팩 구입으로 [rewardtype]을 받았습니다.	作為購買普通加速器禮包獎勵,獲得了[rewardtype]。
특수 부스터팩 구입으로 [rewardtype]을 받았습니다.	作為購買特殊加速器禮包獎勵,獲得了[rewardtype]。
희귀 부스터팩 구입으로 [rewardtype]을 받았습니다.	作為購買稀有加速器禮包獎勵,獲得了[rewardtype]。
영웅 부스터팩 구입으로 [rewardtype]을 받았습니다.	作為購買英雄加速器禮包獎勵,獲得了[rewardtype]。
전설 부스터팩 구입으로 [rewardtype]을 받았습니다.	作為購買傳說加速器禮包獎勵,獲得了[rewardtype]。
고급 영웅패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買高級英雄禮包獎勵,獲得了[amount]個[rewardtype]。
특수 영웅패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買特殊英雄禮包獎勵,獲得了[amount]個[rewardtype]。
희귀 영웅패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買稀有英雄禮包獎勵,獲得了[amount]個[rewardtype]。
전설 영웅패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買傳說英雄禮包獎勵,獲得了[amount]個[rewardtype]。
고급 영웅패키지 구입으로 [rewardtype]을 받았습니다.	作為購買高級英雄禮包獎勵,獲得了[rewardtype]。
특수 영웅패키지 구입으로 [rewardtype]을 받았습니다.	作為購買特殊英雄禮包獎勵,獲得了[rewardtype]。
희귀 영웅패키지 구입으로 [rewardtype]을 받았습니다.	作為購買稀有英雄禮包獎勵,獲得了[rewardtype]。
전설 영웅패키지 구입으로 [rewardtype]을 받았습니다.	作為購買傳說英雄禮包獎勵,獲得了[rewardtype]。
고급 패키지	高級禮包
특수 패키지	特殊禮包
영웅 패키지	英雄禮包
전설 패키지	傳說禮包
고급 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買高級禮包獎勵,獲得了[amount]個[rewardtype]。
특수 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買特殊禮包獎勵,獲得了[amount]個[rewardtype]。
영웅 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買英雄禮包獎勵,獲得了[amount]個[rewardtype]。
전설 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買傳說禮包獎勵,獲得了[amount]個[rewardtype]。
고급 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買高級禮包獎勵,獲得了[rewardtype]。
특수 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買特殊禮包獎勵,獲得了[rewardtype]。
영웅 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買英雄禮包獎勵,獲得了[rewardtype]。
전설 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買傳說禮包獎勵,獲得了[rewardtype]。
우마왕의 고급 특별상품 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買牛魔王的高級商品獎勵,獲得了[amount]個[rewardtype] 。
우마왕의 희귀 특별상품 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買牛魔王的稀有商品獎勵,獲得了[amount]個[rewardtype] 。
우마왕의 전설 특별상품 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買牛魔王的傳說商品獎勵,獲得了[amount]個[rewardtype] 。
우마왕의 고급 특별상품 구입으로 [rewardtype]을 받았습니다.	作為購買牛魔王的高級商品獎勵,獲得了[rewardtype] 。
우마왕의 희귀 특별상품 구입으로 [rewardtype]을 받았습니다.	作為購買牛魔王的稀有商品獎勵,獲得了[rewardtype] 。
우마왕의 전설 특별상품 구입으로 [rewardtype]을 받았습니다.	作為購買牛魔王的傳說商品獎勵,獲得了[rewardtype] 。
빛나는 특수상품	光輝特殊商品
영웅의 특수상품	英雄特殊商品
전설의 특수상품	傳說特殊商品
빛나는 특수상품 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買光輝特殊商品的獎勵,獲得了[amount]個[rewardtype]。
영웅의 특수상품 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買英雄特殊商品的獎勵,獲得了[amount]個[rewardtype]。
전설의 특수상품 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買傳說特殊商品的獎勵,獲得了[amount]個[rewardtype]。
빛나는 특수상품 구입으로 [rewardtype]을 받았습니다.	作為購買光輝特殊商品的獎勵,獲得了[rewardtype]。
영웅의 특수상품 구입으로 [rewardtype]을 받았습니다.	作為購買英雄特殊商品的獎勵,獲得了[rewardtype]。
전설의 특수상품 구입으로 [rewardtype]을 받았습니다.	作為購買傳說特殊商品的獎勵,獲得了[rewardtype]。
알뜰 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買特殊禮包獎勵,獲得了[amount]個[rewardtype]。
실속 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買英雄禮包獎勵,獲得了[amount]個[rewardtype]。
가성비 패키지 구입으로 [rewardtype][amount]개를 받았습니다.	作為購買傳說禮包獎勵,獲得了[amount]個[rewardtype]。
알뜰 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買精打細算禮包獎勵,獲得了[rewardtype]。
실속 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買超實惠禮包獎勵,獲得了[rewardtype]。
가성비 패키지 구입으로 [rewardtype]을 받았습니다.	作為購買高CP值獎勵,獲得了[rewardtype]。
루비 패키지	紅鑽禮包
30일 루비패키지 구입으로 즉시지급 [rewardtype][amount]개를 받았습니다.	因購買30天紅鑽禮包,獲得了[amount]個[rewardtype]。
30일 루비패키지 구입으로 [rewardtype][amount]개를 받았습니다.	因購買30天紅鑽禮包,獲得了[amount]個[rewardtype]。
마일리지 상점에서 구입한 [rewardtype][amount]개를 받았습니다.	您收到了在紅利商店購買的[amount]個[rewardtype]。
마일리지 상점에서 구입한 [rewardtype]을 받았습니다.	您收到了在紅利商店購買的[rewardtype]。
영웅	英雄
아이템	裝備
모험	冒險
전투	對戰
컨텐츠	內容
영웅관리	英雄管理
* 보유한 모든 영웅의 정보를 확인하고 관리 할 수 있습니다.\n	*可以查看並管理持有英雄。\n
영웅은 최초 99명까지 보유할 수 있으며,	首次可持有99名英雄,
최대 299명까지 인벤토리를 확장 할 수 있습니다.\n	擴展槽位後,最多可持有299名。\n
- 진화석	- 進化石
보유한 진화석을 확인 할 수 있습니다.	可查看持有的進化石。
영웅특성	英雄特性
모든 영웅은 6가지 특성을 지니고 있으며,	所有英雄具有6種特性,
특성에 맞는 능력치를 지니고 있습니다.\n	並持有與特性相符的能力值。\n
* 무투 공격형 :무투공격력(▲)	*武鬥攻擊型：武鬥攻擊力(▲)
* 차력 공격형 :차력공격력(▲)	*借力攻擊型：借力攻擊力(▲)
* 무투 방어형 :무투저항력(▲) + 방어력(△)	*武鬥防禦型：武鬥抵抗力(▲)+防禦力(△)
* 차력 방어형 :차력저항력(▲) + 방어력(△)	*借力防禦型：借力抵抗力(▲)+防禦力(△)
* 무투 지원형 :생명력(▲) + 무투저항력(△)	*武鬥支援型：生命力(▲)+武鬥抵抗力(△)
* 차력 지원형 :생명력(▲) + 차력저항력(△)	*借力支援型：生命力(▲)+借力抵抗力(△)
영웅스킬	英雄技能
[ffca01]* 스킬[-]	[ffca01]*技能[-]
영웅은 각 등급(★)에 맞춰	每個星級(★)的英雄
최대 4개의 스킬을 보유하고 있습니다.\n	最多可持有4個技能。\n
* 1~2성 :고유스킬1 + 고유스킬2	*1~2星：固有技能1+固有技能2
* 3~4성 :고유스킬1 + 고유스킬2 + "궁극스킬"	*3~4星：固有技能1+固有技能2+“終極技能”
* 4~6성 :고유스킬1 + 고유스킬2 + "궁극스킬" + "패시브스킬"\n	*4~6星：固有技能1+固有技能2+“終極技能”+“被動技能”\n
[ffca01]* 태그효과[-]	[ffca01]*換人效果[-]
- 모든 영웅은 태그효과를 지니고 있으며,	- 所有英雄都持有換人效果,
등급이 올라가면 태그효과도 강력해집니다.\n	隨著星級的提升,換人效果也會變強。\n
- 태그효과는 MP를 사용하지만, 팀원에게 태그효과를 중첩시켜	- 啟用換人效果雖然會消耗MP,但是給隊友累加換人效果時,
전략적이고 효율적인 전투가 가능합니다.\n	可進行一場有效的策略之戰。\n
- 용병 등장시, 태그효과를 발동하며	- 出現傭兵時,將施放換人效果,
전투중인 메인영웅에게 태그효과를 중첩 시켜줍니다.	並給對戰中的主要英雄累加換人效果。
영웅레벨	英雄等級
* 영웅 합성과 진화를 위한 성장의 기반입니다.	*是合成和進化英雄的成長基礎。
모험플레이와 랜덤레벨업을 통해 최대 30레벨까지 레벨업 할 수 있습니다.\n	透過挑戰冒險和隨機升級,可最高升入30級。\n
- [ffca01]모험[-] :에너지를 소모하며, 전투에 참가한 영웅의 경험치를 획득할 수 있습니다.	- [ffca01]冒險[-]：需要消耗能量,且參加對戰的英雄還能獲得經驗值。
- [ffca01]랜덤 레벨업[-] :루비를 소모하여 1~최대 5레벨을 올릴 수 있습니다.	- [ffca01]隨機升級[-]：使用紅鑽可以隨機提昇等級1級～至多5級。
영웅강화	英雄強化
* 영웅의 능력을 강화시키고, 합성과 진화를 위한 성장의 기반입니다.	*可以強化英雄技能,且是合成和進化所需的成長基礎。
[ffca01]"원본영웅" + "재료영웅" + "골드"[-]를 이용하여 영웅을 강화 할 수 있습니다.	使用[ffca01]“原有英雄”+“材料英雄”+“金幣”[-],可強化英雄。
(영웅 강화 시 재료로 사용된 영웅은 소멸합니다.)\n	(強化時使用的材料英雄將會消失。)\n
- 강화는 한번에 25회까지 도전할 수 있고,	- 強化一次最大可進行25回,
남은 재료영웅과 골드는 반환됩니다.\n	且歸還剩餘的材料英雄和金幣。\n
- 영웅강화는 최대 +5강화까지 강화 할 수 있으며,	- 英雄最高可強化至+5,
- 강화확률은 "원본영웅"과 "재료영웅"의	- 強化機率將根據“原有英雄”和“材料英雄”的
등급(★)에 의해 기본적인 강화 경험치량이 정해집니다.\n	星級(★)來決定基本強化經驗值量。\n
- 추가적으로 강화중 확률적으로 나타나는 [ffca01]"성공 / 대성공 / 초대성공"[-]에 따라	- 另外,根據強化中出現的[ffca01]“成功/大成功/超大成功”[-]機率,
강화 경험치 획득량에 엄청난 차이가 납니다.	獲得的強化經驗值量也會有很大差距。
전략적으로 강화에 도전해보세요!!	有戰略地進行強化吧!!
영웅합성	英雄合成
[ffca01]"동일등급(★) 30레벨 +5강화" + "동일등급(★) 30레벨 +5강화"[-]	[ffca01]“相同星級(★)30級+5強化”+“相同星級(★)30級+5強化”[-]的
영웅을 합성해서 "상위등급의 랜덤 영웅"을 획득 할 수 있습니다.	英雄進行合成後,即可隨機獲得“高一星級英雄”。
- 단, 6성(★) 영웅은 합성 할 수 없습니다.\n	- 但是6星(★)英雄無法進行合成。\n
* 영웅 합성 시 룬은 사라집니다. 미리 해제해 주세요.!	*合成時符文將會消失,請提前解除符文!
영웅진화	英雄進化
영웅의 등급(★)을 고정으로 한단계 상승 시킬 수 있습니다.	可以將英雄的星級(★)提升至高一星級。
(상위등급 동일영웅을 획득할 수 있는 유일한 방법!!)\n	(可以獲得高一星級相同英雄的唯一方法!!)\n
- [ffca01]진화 방법[-]	- [ffca01]進化方法[-]
1) 원본영웅 30레벨 +5강화 달성	1)原有英雄30級+5強化
2) 원본과 "동일등급 재료영웅"	2)與原有英雄“相同星級的材料英雄”
3) 필요한 수량만큼의 "동일특성 진화석"	3)需要一定數量的“相同特性進化石”
1성 진화 :진화석 10개	1星進化：10個進化石
2성 진화 :진화석 25개	2星進化：25個進化石
3성 진화 :진화석 50개	3星進化：50個進化石
4성 진화 :진화석 80개	4星進化：80個進化石
5성 진화 :진화석 120개	5星進化：120個進化石
4) 골드	4)金幣
초월	洗煉
영웅의 최대레벨을 40레벨 까지 올릴 수 있습니다.\n	可以將英雄的等級上限提升至40級。\n
- 초월 방법	- 洗煉方法
원본 영웅과 "동일 등급"의 "동일한 영웅"을 재료로 사용하고,	將與原有英雄“相同星級”的“相同英雄”用作材料,
초월 성공 시 최대레벨이 +2레벨 증가합니다.\n	成功洗煉時,最高等級可提升2級。\n
* 초월은 영웅의 능력치를 대폭!! 상승시켜줍니다.	*洗煉可以使英雄的能力值大幅提升。
- 초월 시 영웅의 지속스킬능력을 상승시킵니다.	- 洗煉時,可提升英雄的持續技能。
2종의 지속스킬을 지닌 영웅은 앞단의 스킬 능력을 상승시켜줍니다.	持有2種持續技能的英雄可提升前面的技能能力。
궁극초월	終極洗煉
40레벨까지 초월한 6성 영웅의 최대레벨을 올릴 수 있습니다.\n	能夠提升洗煉到40等級的6星英雄的最高等級。\n
- 궁극초월 방법	- 終極洗煉方法
6성 40레벨 영웅과 "동일 영웅" + "동일계열 진화석"을 재료로 사용하고,	以40級6星英雄和“同一英雄”+“同一系列進化石”為材料，
궁극초월 성공 시 최대레벨이 +2레벨 증가합니다.\n	終極洗煉成功時，英雄的最高等級提升2級。\n
* 궁극초월은 영웅의 능력치를 초대폭!! 상승시켜줍니다.	*終極洗煉會將英雄的屬性值最大幅！！提升。
- 궁극초월 시 영웅의 지속스킬능력을 상승시킵니다.	- 終極洗煉時會提升英雄的持續技能的效果。
2종의 지속스킬을 지닌 영웅은 앞단의 스킬 능력을 상승시켜줍니다.	擁有2種持續技能的英雄會提升前段的技能。
궁극강화	終極強化
- 궁극강화를 통해 장비슬롯을 오픈 할 수있습니다.\n	- 透過終極強化可解鎖裝備槽。\n
- 궁극강화 방법	- 終極強化方法
"6성 원본영웅" + "6성 재료영웅" + "골드"\n	“6星原有英雄”+“6星材料英雄”+“金幣”\n
- 영웅은 궁극강화를 통해 총 3개의 슬롯을 오픈 할 수 있으며	- 透過終極強化總共可解鎖3個槽位,
무기, 방어구, 장신구를 장착할 수 있습니다.	且可裝備武器、防具及飾品。
영웅환생	英雄重生
- 6성 영웅을 이용하여 새로운 영웅으로 환생 할 수 있습니다.\n	- 使用6星英雄可以重生為新英雄。\n
- 영웅 환생 방법	- 英雄重生方法
"6성 30레벨 +5강화 원본영웅" + "6성 재료영웅" + "골드"\n	“6星30級+5強化原有英雄”+“6星材料英雄”+“金幣”\n
* 레어한 영웅을 재료로 사용하면, 더 강력한 영웅의 획득률이 상승합니다.	*如果使用稀有英雄作為材料,將提升強力英雄的獲得機率。
또한, 원본과 재료 영웅을 제외한 "제3의 영웅을 획득" 할 수 있습니다.\n	並且,可獲得除原有英雄和材料英雄以外的“第3個英雄”。\n
* 영웅은 환생 시 "6성 1레벨"로 새롭게 태어나며,	*重生時,英雄將變為“6星1級”,
[FF0000]환생을 통해 "스페셜 영웅"은 획득 할 수 없습니다.[-]	[FF0000]透過重生無法獲得“超級英雄”。[-]
영웅각성	英雄覺醒
* 영웅을 각성하여 더욱 강해진 영웅을 만날 수 있습니다.\n	*覺醒英雄能創造出更強大的英雄。\n
- 각성 효과 :영웅을 각성하면 외형이 변하고 능력치가 상승하며	- 覺醒效果：覺醒的英雄，將會改變了外觀和上升的能力,
더욱 강화 된 스킬을 사용 할 수 있습니다. 추가로 펫 슬롯이	並可使用更強力的技能。還可解鎖
오픈되어 펫을 장착할 수 있습니다.\n	寵物槽位，裝備寵物。\n
- 영웅각성 방법	- 覺醒英雄方法
"6성 30레벨 +5강화 각성가능영웅" + "6성 30레벨 +5강화 재료영웅"	“30級6星+5強化可覺醒英雄”+“30級6星+5強化材料英雄”
+ "각성열쇠" + "골드"\n	+“覺醒鑰匙”+“金幣”\n
* 펫은 영웅의 능력치를 올려주며	*寵物能夠提升英雄的能力值
각 펫 마다 추가 스킬을 보유하고 있습니다.	並且每個寵物擁有追加技能。
(펫 슬롯 오픈 시 펫을 장착할 수 있습니다.)\n	（解鎖寵物槽位後可以裝備寵物。）\n
펫의 스킬은 지속 스킬과 조건 발동 스킬이 있으며	寵物的技能有持續技能和條件發動技能
스킬의 효과는 펫 상세 정보에서 확인해주세요.	技能的效果可以在寵物的詳細情報中確認。
(영웅의 스킬효과와 펫의 스킬효과는 중첩하여 사용할 수 있습니다.)\n	（英雄的技能效果和寵物的技能效果可重疊使用。）\n
* 펫 관리	*寵物管理
보유한 모든 펫의 정보를 확인하고 관리 할 수 있습니다.	可確認所有寵物的情報並進行管理。
펫은 최초 50개까지 보유할 수 있으며,	最初最多可持有50隻寵物，
최대 200개까지 인벤토리를 확장 할 수 있습니다.	擴展物品欄後最多可持有200隻。
펫 강화	寵物強化
* 펫의 능력을 강화시키고, 합성하기 위한 성장의 기반입니다.	*寵物強化為強化寵物的能力值，為了合成所需的成長的基礎。
"원본 펫" + "재료 펫" + "골드"를 이용하여 강화 할 수 있습니다.	透過“原有寵物”+“材料寵物”+“金幣”來強化。
(펫 강화를 위해 사용한 재료는 소멸됩니다.)\n	（用於強化寵物的材料會消失。）\n
- 최대 +5강화까지 강화 할 수 있고,	- 最高可強化至+5
강화단계에 따라 능력치가 상승합니다.\n	且隨著強化階段的提升,能力值也會上升。\n
[ffca01]"동일등급(★) 30레벨 +5강화" + "동일등급(★) 30레벨 +5강화"[-]	[ffca01]透過合成“相同星級(★)30級+5強化”+“相同星級(★)30級+5強化”[-]的
펫을 합성해서 "상위등급의 랜덤 펫"를 획득 할 수 있습니다.	寵物，你可以獲得一個“上位等級隨機寵物。”
- 단, 6성(★) 펫은 합성 할 수 없습니다.\n	- 但是，6星（★）寵物不能用於合成\n
인장	印章
- 오픈한 인장은 강화를 통해 성장시킬 수 있습니다.\n	- 透過強化可以將解鎖的印章進行升級。\n
골드를 이용해 인장 강화를 할 수 있으며,	使用金幣可以強化印章,
확률에 따라 성공 또는 실패할 수 있습니다.	根據機率可能成功或失敗。
- 인장 강화는 4종의 인장 특성을 더욱 강하게 할 것이며,	- 強化印章可以使印章的4種特性變得更強,
영웅의 궁극적인 성장을 확인 할 수 있습니다.	且可以確認英雄的終極成長。
룬관리	符文管理
* 보유한 모든 룬의 정보를 확인하고 관리 할 수 있습니다.\n	*可以查看並管理持有的所有符文。\n
룬은 최초 50개까지 보유할 수 있으며,	最初最多可持有50個符文,
최대 200개까지 인벤토리를 확장 할 수 있습니다.\n	擴展槽位後,可持有200個符文。\n
룬 보관함에서 룬 제작 재료인	可以在符文倉庫中一起管理
"현자의 돌"도 함께 관리할 수 있습니다.	符文製作材料的“賢者之石”。
룬특성	符文特性
모든 영웅은 6종의 룬을 장착할 수 있습니다.	所有英雄可以裝備6種符文。
1) 생명의 룬	1）生命符文
2) 방어의 룬	2）防禦符文
3) 무투공격의 룬	3）武鬥攻擊符文
4) 차력공격의 룬	4）借力攻擊符文
5) 무투저항의 룬	5）武鬥抵抗符文
6) 차력저항의 룬\n	6）借力抵抗符文
룬강화	符文強化
* 룬의 능력을 강화시키고, 승급하기 위한 성장의 기반입니다.	*可以強化符文技能,這也是進階的基礎。
"원본룬" + "재료룬" + "골드"를 이용하여 룬을 강화 할 수 있습니다.	使用“原有符文”+“材料符文”+“金幣”可以強化符文。
(룬 강화 시 재료로 사용된 룬은 소멸합니다.)\n	(符文強化時,用作材料的符文將消失。)\n
- 룬강화는 최대 +5강화까지 강화 할 수 있고,	- 符文最高可強化至+5,
룬 승급	符文進階
랜덤한 단계, 랜덤 추가능력의 룬을 승급시킬 수 있습니다.\n	可以進階到隨機階段、隨機附加技能的高一星級符文。\n
- 전설의 룬을 획득하기 위해 끊임없이 승급해 보세요!!	- 為了獲得傳說符文,不斷進階符文吧!!
- 단, 6성(★) 룬은 승급 할 수 없습니다.\n	- 6星(★)符文無法進行進階。\n
[6성(★) 룬 4개] + [250,000 골드]를 이용한	透過使用[6星（★）符文4個]+[250000金幣]
룬 제작을 통해 태초의 룬을 획득할 수 있습니다.\n	進行符文製作，可以獲得元初之符文。\n
* 제작 룬 확률 조정	*符文的機會調整生產
1) 레어도가 높은 룬을 사용하여	1）使用高稀有度的符文
불멸과 신화룬의 확률을 올릴 수 있습니다.	可以提高獲得不朽和神話符文的機會。
[8b8b8b]희귀 이상 룬을 사용 해서 신화룬 확률을 올려보세요![-]\n	[8b8b8b]使用稀有以上的符文來提高獲得神話符文的機率。[-]\n
2) 현자의 돌을 사용하여	2）使用賢者之石
불멸과 신화룬의 확률을 올릴 수 있습니다.	可以提高獲得不朽和神話符文的機率。
[8b8b8b]룬의 사원 난이도5번 부터 보스 등장 시 획득할 수 있습니다.[-]\n	[8b8b8b]符文地牢第5難易度開始魔王登場時可以獲得。[-]\n
태초의 룬은 "고대/ 불멸/ 신화"룬으로	元初之符文包括“古代/不朽/神話”
구성되어 있으며, 일반룬과 다르게	三種符文，不同於普通的符文
레어도와 세트효과 단어가 일치하면 세트효과가 발동됩니다!!	稀有度和套裝效果的詞綴相同時會開啟套裝效果！！
[8b8b8b]예를들어!!	[8b8b8b]舉個例子！！
고대(분노) 룬을 2개/4개/6개를 모으면 세트효과 발동!![-]\n	收集古代（憤怒）2個/4個/6個將觸發套裝效果！！[-]\n
상세한 세트효과는 도감에서 확인할 수 있습니다!!	詳細的套裝效果可以在圖鑒中確認！！
장비	裝備
* 장비는 영웅의 무투와 차력 공격력과 저항력을 올려주며	*裝備可以提升英雄的武鬥和借力攻擊力和抵抗力,
각 장비 마다 추가능력을 보유하고 있습니다.\n	且每個裝備都持有附加技能。\n
장비의 추가능력은 영웅의 지속스킬과 중첩하여 사용할 수 있어	裝備的附加技能可以與英雄的持續技能累加使用,
영웅을 더욱 강력하게 만들어 줍니다.\n	並使英雄變得更加強大。\n
(장비와 영웅의 지속스킬 능력을 중첩할 때엔 다음과 같은 공식으로 적용됩니다.	（裝備和英雄的持續技能累加時,將出現如下公式的效果。
ex :영웅 지속스킬 피해량 증가 50% + 장비 피해량 증가 15%	例：英雄持續技能傷害量增加50%+裝備傷害量增加15%
= 최종적으로 피해량 증가 65%의 효과적용)\n	=最終啟用傷害量增加65%的效果）\n
* 장비 관리	*裝備管理
보유한 모든 장비의 정보를 확인하고 관리 할 수 있습니다.	可以查看並管理持有的所有裝備。
장비는 최초 50개까지 보유할 수 있으며,	最初最多可持有50個裝備,
최대 200개까지 인벤토리를 확장 할 수 있습니다.	擴展槽位後,上限可提升至200個。
장비 특성	裝備特性
모든 영웅은 최대 2종의 장비와 1종의 장신구를 장착할 수 있습니다.\n	所有英雄最多可裝備2種裝備和1種飾品。\n
1) 무기	1）武器
2) 방어구	2）防具
3) 장신구	3）飾品
장비 강화	裝備強化
* 장비의 능력을 강화시키고, 승급하기 위한 성장의 기반입니다.	*可以強化裝備技能,且是進階所需的基礎。
"원본장비" + "재료장비" + "골드"를 이용하여 강화 할 수 있습니다.	使用“原有裝備”+“材料裝備”+“金幣”可進行強化。
(장비 강화를 위해 사용한 재료는 소멸됩니다.)\n	(強化裝備使用的材料將消失。)\n
장비 승급	裝備進階
"동일등급(★)" + "+5강화" + "골드"를 이용해	使用“相同星級(★)”+“+5強化”+“金幣”
동일특성의 랜덤 추가능력을 지닌 장비로 승급시킬 수 있습니다.\n	可以進階為持有相同特性的隨機附加技能的裝備。\n
- 단, 6성(★) 장비는 승급 할 수 없습니다.\n	- 但是,6星(★)裝備無法進行進階。\n
장신구	飾品
* 장신구는 영웅의 생명력과 방어력 능력치를 올려주며	*飾品可以提升英雄的生命力和防禦力能力值,
각 장신구 마다 추가능력을 보유하고 있습니다.\n	且每個飾品都持有附加技能。\n
장신구의 추가능력은 영웅의 스킬 사용 시 확률적으로 발동되며	英雄使用技能時,有機率施放飾品的附加技能,
영웅의 스킬효과와 장신구의 추가능력은 중첩하여 사용할 수 있습니다.	英雄的技能效果和飾品的附加技能可累加使用。
단, 장신구의 동일한 추가능력끼리는 중첩되지 않으니 기억해 주세요!!\n	但是,無法累加使用飾品的相同附加技能!!\n
* 장신구 관리	*飾品管理
보유한 모든 장신구의 정보를 확인하고 관리 할 수 있습니다.	可以查看所有持有飾品的情報並對飾品進行管理。
장신구는 최초 50개까지 보유할 수 있으며,	首次最多可持有50個飾品,
최대 200개까지 인벤토리를 확장 할 수 있습니다.	擴展槽位後,最多可持有200個。
장신구 강화	飾品強化
* 장신구의 능력을 강화시키고, 승급하기 위한 성장의 기반입니다.	*可以強化飾品技能,且是進階所需的基礎。
"원본 장신구" + "재료 장신구" + "골드"를 이용하여 강화 할 수 있습니다.	使用“原有飾品”+“材料飾品”+“金幣”可進行強化。
(장신구 강화를 위해 사용한 재료는 소멸됩니다.)\n	(強化飾品時使用的材料將消失。)\n
- 최대 +5강화까지 강화 할 수 있고,	- 最高可強化至+5,
강화단계에 따라 능력치가 상승합니다.\n	且隨著強化階段的提升,其能力值也會提升。\n
장신구 승급	飾品進階
"동일등급(★)" + "+5강화" + "골드"를 이용해	使用“相同星級(★)”+“+5強化”+“金幣”,
동일특성의 랜덤 추가능력을 지닌 장신구로 승급시킬 수 있습니다.\n	可以將持有相同特性的隨機附加技能的飾品進行進階。\n
- 단, 6성(★) 장신구는 승급 할 수 없습니다.	- 但是,6星(★)飾品無法進行進階。
* 장신구의 추가능력은 [FBC501]스킬 사용 시 적용[-]됩니다. *	*[FBC501]使用技能時將啟用[-]飾品的附加技能。*
모험하기	冒險
- 챕터3 :10 에너지 사용	- 篇章3：使用10個能量
- 챕터 1 : 5 에너지 사용	- 篇章1：使用5個能量
- 챕터2 : 8 에너지 사용	- 篇章2：使用8個能量
- 챕터3 : 8 에너지 사용	- 篇章3：使用8個能量
* 에너지를 사용해서 GOH의 세계를 모험할 수 있습니다.\n	*使用能量可以在“高校之神”開啟冒險旅程。\n
* 모험보상	*冒險獎勵
모험을 통해 다양한 보상을 획득 할 수 있습니다.\n	透過冒險可以獲得各種獎勵。\n
- 플레이어 + 영웅 레벨 업을 위한 "경험치"	- 玩家+升級英雄所需的“經驗值”
- 골드 / 영웅 / 룬 / 보물상자\n	- 金幣/英雄/符文/寶箱\n
* 모험모드	*冒險模式
모험은 난이도에 따라 "일반/ 영웅/ 전설모드"로 구분되며,	根據難度將冒險區分為“普通/英雄/傳說模式",
