나를 지켜줘	十里重生
환생은 화면 왼쪽 하단 <환생버튼>을 누르면 되요.	點擊位於介面左下方的<重生鍵>，進行重生。
환생 방법은 쉬우니 어서 환생해 볼까요?	重生方法很簡單，要不要試一下？
전투가 너무 힘들어요…	戰鬥太艱難了。
그래. 빨리 환생을 해야 해.	是的。快點重生吧。
이렇게 가다간 전멸될수도 있어!	繼續這樣下去，我們都會死的！
어서 화면 왼쪽 하단 <환생버튼>을 눌려 주세요.	快點擊位於介面左下方的<重生鍵>。
환생을 무사히 마쳤어요.	成功完成重生。
이제 획득한 영혼으로 캐릭터의 잠재능력을 강화시키세요.	現在快使用獲得的靈魂強化英雄的潛能。
어떻게 강화를 시키나요?	要怎麼強化呢？
화면 오른쪽 하단에 있는 <캐릭터 아이콘>을 누른 후 강화시키고 싶은 잠재능력을 레벨업 시키면 되요.	點擊位於介面右下方的<英雄圖示>，進行強化，將需要提升的潛能等級進行升級。
생각보다 쉬운 방법이군.	操作比想像中要簡單啊。
영혼은 환생뿐만 아니라 오프라인 상태에서도 조금씩 획득할 수 있어요.	重生可以獲得靈魂，離線狀態下也能獲得少許靈魂。
유이나. 혹시 카모르님은 어떻게 됐는지 기억나?	尤伊娜。你還記的卡莫先生發生什麼事了嗎？
몇일전까지 평화롭게 지내셨는데 갑자기 검은 기운이 심장쪽에 모이시더니 이성을 잃고 폭주하셨어요...	之前一直很穩定，前幾天，黑暗力量突然向心臟聚集，接著它就喪失理性，變得狂躁起來。
마물이 나온 시점과 비슷한것 같은데…	與怪物出沒的時間接近。
네. 카모르님의 <드래곤 하트>가 오염 된것 같아요. 정화하려면 하늘 계곡의 <세계수의 눈물>이 있어야해요.	是。好像卡莫先生的<龍之心>已被汙染。如果想要淨化它，需要來自天谷的<世界之樹的眼淚>。
그럼 빨리 그 <세계수의 눈물>을 구하고 카모르를 돌려야겠군.	那我們快點找到<世界之樹的眼淚>，喚醒卡莫先生。
다음 행선지는 하늘 계곡으로 가자.	下一個目的地是天谷。
아무래도 레벨업만으론 전투가 힘든거 같어.	感覺只靠升級，戰鬥將會很艱難。
획득한 영혼으로 여러분의 등급을 상승시키면 능력치가 대폭 상승되어 전투가 수월할거에요.	如果利用靈魂，提升諸位的等級，大幅提升能力值，戰鬥就會變得很容易。
등급?	等級嗎？
네. 캐릭터 메뉴에서 각 캐릭터의 등급을 상승시킬 수 있어요.	是。在英雄功能表中，可提升各英雄的等級。
등급 상승에는 영혼이 필요해요.	提升等級需要靈魂。
그럼 어서 별등급을 상승시켜 보아요.	那我們快點升星吧。
톡! 톡!(왼쪽 어깨를 친다)	啪！啪！(拍打左肩膀)
히히. 가브엘님은 똑같은 장난에 매번 속네요.	嘻嘻。加布艾爾每次都被騙。
톡! 톡!(오른쪽 어깨를 친다)	啪！啪！(拍打右肩膀)
…(뒤를 돌아본다)	……（向後望去）
가브엘님과 놀면 너무 재미있네요. 유이나님도 해보세요. 정말 재미있어요.	和加布艾爾先生鬧著玩，簡直太好玩了。尤伊娜小姐，您也試試。真好玩。
이제 보스 전투에 어느 정도 적응이 된거 같군.	現在好像已經適應艱難關卡了。
우린 너무 잘 맞는거 같네요.	我們好像很合得來啊。
가브엘님 우리 잘 맞는거 같죠?	加布艾爾先生，我們是不是很合得來？
그 렇 습 니 다	是的。
앞으로도 이렇게만 하자구.	以後我們也要繼續如此。
방금 보스 전투에서 너의 무기를 획득했어	剛在艱難的戰鬥中，得到了你的武器。
정말? 안그래도 바꿀때가 되었는데 잘되었네.	真的嗎？正好該換武器了。
화면 오른쪽 하단 캐릭터 메뉴를 통해 무기를 변경하세요	請點擊介面右下方的英雄功能表，更換武器。
내가 강해지면 마물 처치는 일도 아니지!	等我變強之後，擊殺怪物就不是問題了！
저 자존심은 그대로군. 쯔쯔.	我的自尊心依然沒變。嘖嘖。
난 저분이 아무리 인간을 돕는다고 해도 꺼림직하네요…	雖然他幫助人類，但我還是覺得不舒服。
너무 겁먹지마.	不用太害怕。
저 이질적인 기운은 참기 힘드네요.	很難忍受這種奇怪的力量。
난 가브엘님이 왠지 좋은데. 장난도 잘 받아주고~	我卻很喜歡加布艾爾先生。也不介意我的玩笑~
이제 우리와 한 팀이니깐 힘내. 유이나.	現在我們同處一隊，加油。尤伊娜。
네..	是……
으….	呃……
무슨 일이야? 유이나!	有什麼事嗎？尤伊娜！
아.. 아무것도 아니에요…	啊。沒什麼事……
어디 아픈거 같은데… 정말 괜찮어?	你是不是哪裡不舒服？真的沒問題嗎？
네 괜찮아요..	是的，沒事的……
좀 쉬었다 이동해야겠는데.. 아론.	休息一下再出發吧。亞倫！
꺄악!!!!!!!!!!!!!	啊！！！！！！
왜 그래! 유이나!!	怎麼了？尤伊娜！
으.. 저에게 무슨일이 있었나요?	額。我怎麼了？
응.. 한참동안 자다가 이제 일어났어.	恩..你睡了很長時間，今天才醒過來。
아.. 그렇군요. 꿈에서 카모르님과 차원문을 통해 아주 아름다운 곳을 여행했어요.	啊..原來這樣啊。我在夢裡和卡莫先生一起通過傳送門去了一個美麗的地方。
그래? 차원문?	是嗎？傳送門？
차원문은 드래곤님들이 사용하는 문인데 원하는 곳으로 빨리 이동할 수 있어요.	傳送門是卡莫先生使用的門，可以透過它快速移動到任何想去的地方。
역시 드래곤들은 다르군…	不愧是卡莫先生，果然與眾不同。
앗 흐릿하지만 꿈에서 카모르님이 차원문을 개방할 수 있는 방법을 가르쳐 주신거 같아요.	啊，雖然記得不是很清楚，但在夢裡，卡莫先生將開啟傳送門的方法教給了我。
그럼 유이나님도 그 차원문이라는걸 사용할 수 있나요!?	那尤伊娜小姐也可以開啟傳送門了嗎！？
차원문은 캐릭터 메뉴에서 "차원문"을 습득한 후 열 수 있어요.	可在功能表中的學習並開啟“傳送門”。
아.. 그럼 빨리 습득하여 사용해 주세요!	啊……那快點學習使用吧！
차원문도 좋지만 당장 마물을 처치해야 하니 전투에 집중해!	雖然傳送門很好，但是現在還是要專注戰鬥，快點消滅怪物！
알겠어.	知道了。
여러분들은 데빌홀 결계에 대해 아시나요?	諸位知道惡魔洞穴屏障嗎？
데빌홀 결계?	惡魔洞穴屏障嗎？
네. 약 500년전 어떤 미치광이 마법사에 의해 데빌홀이 열리고, 그 데빌홀에서 마물들이 나와 인간세상을 파괴시켰어요.	是的。大約500年前，一群瘋狂的巫師打開惡魔洞穴，怪物們從惡魔洞穴中跑出來，到人間搞破壞。
으… 무서워…	呃……好可怕……
본래 인간 세상에 관여하지 않는 카모르님은 마물들이 세상의 흐름을 파괴시키는 것이 싫어 인간들을 도왔죠.	本來遠離人間的卡莫先生因為討厭怪物破壞人間的秩序，不得不出面幫助人類。
결국 인간 마법사들과 함께 데빌홀을 닫게 하는 결계를 설치하여 세상의 마물을 없앴어요.	最後和人類魔法師一起設定了關閉惡魔洞穴的屏障，並消滅了在人間的怪物。
드래곤이 인간의 일에 간섭을 안한다던데 예외도 있구나.	聽說龍不干涉人類的事，原來也有例外啊。
음.. 여기 근처인거 같은데…	恩……好像在這附近。
뭐가?	什麼東西？
엇! 저기에 있네요. 데빌홀 결계!	哎！在那裡！惡魔洞穴屏障！
과거 카모르님과 여행 중 결계를 본적이 있어요.	過去和卡莫先生一起旅行時曾經看過屏障。
그럼 이제 저걸 닫으면 되는건가?	那現在把這個屏障關上就可以了嗎？
네. 저 결계내에 강력한 마물들이 많을테니 제가 봉인을 하는동안 잘 지켜주셔야 해요.	是。屏障內有很多超強的怪物，我封印的時候，你們要好好守護我。
나만 믿어.	相信我吧。
그런데 결계안에는 어떻게 가는거야?	但是怎麼進到屏障裡面啊？
화면 오른쪽 하단 <던전 메뉴>를 통해 갈 수 있어요.	點擊介面右下方<迷宮功能表>進入。
그렇군. 슬슬 준비해 볼까.	是這樣啊。讓我們做好準備。
아참! 결계내에서는 데빌의 정화의 결정을 통해 강력해진 힘은 소용없고	對了！在屏障內，惡魔的淨化晶石無法令英雄變強。
오로지 영혼을 통해 강해진 잠재력만이 전투에 효과가 있어요.	只能透過靈魂強化潛力，影響戰鬥。
그런데 유이나. 우리가 저번에 찾은 결계외에 다른 결계도 있는거야?	對了，尤伊娜。除了我們之前找到的屏障，是不是還有其他屏障？
네. 결계는 세계 곳곳에 있다고 카모르님께 들었어요.	是的。聽卡莫先生說，世界各地到處都有屏障。
그럼 다른 결계들도 빨리 찾아서 닫아야겠군.	那我們要儘快找出其他的屏障，然後將其關閉。
네. 각 결계는 수십개의 Lv로 되어있고, 클리어하면 결계 고유의 보상을 받을 수 있어요.	是的。每個屏障分為幾十個等級，過關後可獲得屏障特別獎勵。
보상이라.. 그건 좋군.	獎勵。聽起來不錯。
그리고 다른 결계는 우리의 파티레벨이 상승하면 찾을 수 있어요.	等我們的隊員等級升級後，就可以找出其他的屏障。
결계는 무서운거 같아요!	感覺屏障很可怕！
네. 결계의 Lv이 높아지면 그만큼 강력한 마물들이 출현하게되니 더욱 조심해요.	是的。屏障的等級越高，裡面出現的怪物越厲害。要更加小心。
그래도 내 적수는 되지 못해.	沒事，那些怪物不是我的對手。
호호호. 아론은 여전하군.	哈哈哈，亞倫果然還是老樣子。
아참! 결계 Lv2 이상부터는 자동 진행을 할 수 있어요.	對了！Lv2以上屏障，可以自動過關。
자동 진행? 그건 뭐에요?	自動過關嗎？那是什麼？
자동 진행은 직접 조작을 하지 않고 자동으로 결계를 봉인시키는걸 말해요.	自動過關，就是無需親自操作，自動封印屏障。
만약 결계 열쇠가 많다면 자동 진행을 하는 것이 아주 좋다고 할 수 있죠.	如果屏障鑰匙充足，採用自動過關可以節省很多麻煩。
그럼 무조건 하는 것이 좋은거 아니야?	那麼，無條件地這麼做不是更好嗎？
자동 진행에 참여한 인원수 및 능력치에 따라 완료 시간이 결정되기 때문에 잘 판단해야 해요.	依據參加自動過關的人數和能力值來決定結束時間，因此需要謹慎判斷。
그렇군.	是這樣啊。
이놈에 마물들은 끝도 없군.	這些怪物真是沒完沒了。
그러게요. 마물이 너무 많아요. ㅠㅠ	是啊。怪物太多了。ㅠㅠ
여러분! 정화의 결정과 영혼을 이용하여 강력해지면 전투가 수월할꺼에요.	諸位！使用淨化晶石和靈魂可以變強，讓戰鬥變得輕鬆。
유이나! 슬슬 환생을 하는건 어때?	尤伊娜！進行重生怎麼樣？
화면 왼쪽 하단에 있는 환생 버튼을 눌려 환생하세요.	點位於擊介面左下方的<重生>鍵進行重生。
그래 빨리 환생을!	那快點重生吧！
흑…흑…	嗚嗚
유이나. 왜 그리 울고 있어?	尤伊娜。你怎麼哭了？
여러분들이 이렇게 전투하다 다치는걸 보니 너무 슬프네요.	我看到你們戰鬥中受傷，感到特別難過。
너무 슬퍼하지마…	別太難過了……
음? 처음 느껴보는 기운이 제 몸을 감싸요.	恩？有一種新出現的力量纏繞著我的身體。
여러분! 제 몸에 어떤 변화가 있는거 같아요.	諸位！我的身體好像發生變化了。
그게 무슨 말이야?	什麼意思？
치유의 손길을 깨달은거 같아요.	我好像領悟了「治癒技能」了。
제 등급을 올려 "치유의 손"을 습득하면 여러분들을 치유할 수 있어요.	我升級後，就可以學習「治癒技能」，為各位療傷了。
와우! 완전 좋은 스킬이군요!	哇！這個技能太棒了！
네. 빨리 캐릭터 메뉴에서 "치유의 손길" 습득해 주세요.	是的。快點在英雄選單中學習「治癒技能」。
그런데 에리카	對了，艾麗卡
결계를 자동 진행할 때 말이야. 다른 결계들도 자동 진행을 할 수 있는 방법은 없어?	自動過關屏障時，有什麼辦法同時自動過關其他屏障？
자동진행 가능한 결계가 2개 이상이라면 당연히 가능하지	可自動過關的屏障如果超過兩個，當然可以同時進行。
그래?	是嗎？
응. 진행에 필요한 결계열쇠와 인원, 그리고 시간만 있으면 가능해	恩。需要擁有過關所需的屏障鑰匙、人員以及時間。
보상은 많을수록 좋지. 빨리 가보자고	獎勵越多越好。快去看看吧！
에리카님~ 저 궁금한게 있어요~	艾麗卡小姐……我有個問題~
우리 꼬마 숙녀님이 무엇이 궁금할까~?	我們的小淑女有什麼問題啊~？
첫사랑 이야기 들려주세요!	你為我們講一下初戀的故事吧！
(흠칫)	（嚇了一跳）
호호~그건 비~밀~!	哈哈，那個是祕密！
에이...시시해…	哎呀，真小氣~
쉬지 않고 마법을 사용해서 배가 고프네…	一直不停的使用魔法，好餓啊……
세상의 평화를 되찾게 되면 저녁을 사도록 하지	如果世界恢復和平。我請你吃晚飯。
어머! 나한테 데이트 신청 하는거야?	哎呀！你是在約我嗎？
쓸데없는 소리!	廢話！
농담이야~정색하긴~호호!	開玩笑啦，幹嘛繃著臉，哈哈！
뒤 조심해! 에리카	小心後面！艾麗卡
호호호! 아직도 동네 불량배들에게 괴롭힘을 당하는 나약한 소녀로 보는거야?	哈哈哈！你還當我是當年被社區小混混欺負的柔弱女孩呀？
